member_id,unit,plan,monthly_fee,month,is_delinquent,recognized_revenue
M100191,Downtown,Plus,139.9,2025-01-01,0,139.9
M100194,Downtown,Basic,99.9,2025-01-01,0,99.9
M100196,University,Plus,139.9,2025-01-01,0,139.9
M100197,Downtown,Basic,99.9,2025-01-01,0,99.9
M100201,Downtown,Premium,189.9,2025-01-01,0,189.9
M100204,Downtown,Basic,99.9,2025-01-01,0,99.9
M100207,South,Plus,139.9,2025-01-01,0,139.9
M100209,University,Plus,139.9,2025-01-01,0,139.9
M100210,University,Plus,139.9,2025-01-01,0,139.9
M100211,South,Basic,99.9,2025-01-01,0,99.9
M100213,University,Plus,139.9,2025-01-01,0,139.9
M100215,Downtown,Plus,139.9,2025-01-01,0,139.9
M100218,Downtown,Premium,189.9,2025-01-01,0,189.9
M100221,University,Plus,139.9,2025-01-01,1,0.0
M100222,South,Plus,139.9,2025-01-01,0,139.9
M100226,North,Basic,99.9,2025-01-01,0,99.9
M100228,University,Basic,99.9,2025-01-01,0,99.9
M100229,Downtown,Premium,189.9,2025-01-01,0,189.9
M100231,East,Plus,139.9,2025-01-01,0,139.9
M100232,South,Premium,189.9,2025-01-01,0,189.9
M100234,East,Plus,139.9,2025-01-01,0,139.9
M100235,North,Basic,99.9,2025-01-01,0,99.9
M100237,University,Basic,99.9,2025-01-01,0,99.9
M100241,South,Basic,99.9,2025-01-01,0,99.9
M100242,East,Basic,99.9,2025-01-01,1,0.0
M100244,North,Plus,139.9,2025-01-01,0,139.9
M100247,University,Basic,99.9,2025-01-01,0,99.9
M100248,Downtown,Premium,189.9,2025-01-01,0,189.9
M100249,East,Basic,99.9,2025-01-01,0,99.9
M100251,West,Plus,139.9,2025-01-01,0,139.9
M100252,Downtown,Premium,189.9,2025-01-01,0,189.9
M100253,University,Basic,99.9,2025-01-01,0,99.9
M100254,Downtown,Basic,99.9,2025-01-01,0,99.9
M100255,South,Plus,139.9,2025-01-01,0,139.9
M100260,University,Premium,189.9,2025-01-01,0,189.9
M100263,West,Premium,189.9,2025-01-01,0,189.9
M100264,West,Basic,99.9,2025-01-01,0,99.9
M100267,South,Plus,139.9,2025-01-01,0,139.9
M100268,University,Plus,139.9,2025-01-01,0,139.9
M100271,University,Plus,139.9,2025-01-01,0,139.9
M100276,University,Plus,139.9,2025-01-01,0,139.9
M100281,Downtown,Basic,99.9,2025-01-01,1,0.0
M100282,South,Plus,139.9,2025-01-01,0,139.9
M100293,Downtown,Plus,139.9,2025-01-01,0,139.9
M100295,West,Basic,99.9,2025-01-01,1,0.0
M100299,East,Basic,99.9,2025-01-01,1,0.0
M100300,East,Basic,99.9,2025-01-01,0,99.9
M100303,Downtown,Basic,99.9,2025-01-01,0,99.9
M100304,Downtown,Basic,99.9,2025-01-01,0,99.9
M100305,North,Basic,99.9,2025-01-01,0,99.9
M100312,University,Plus,139.9,2025-01-01,0,139.9
M100314,East,Premium,189.9,2025-01-01,0,189.9
M100315,University,Basic,99.9,2025-01-01,0,99.9
M100316,South,Plus,139.9,2025-01-01,0,139.9
M100318,Downtown,Basic,99.9,2025-01-01,0,99.9
M100322,University,Premium,189.9,2025-01-01,0,189.9
M100324,East,Plus,139.9,2025-01-01,0,139.9
M100326,East,Premium,189.9,2025-01-01,0,189.9
M100332,South,Premium,189.9,2025-01-01,0,189.9
M100340,West,Basic,99.9,2025-01-01,0,99.9
M100341,East,Basic,99.9,2025-01-01,0,99.9
M100343,East,Basic,99.9,2025-01-01,0,99.9
M100348,East,Plus,139.9,2025-01-01,0,139.9
M100353,West,Plus,139.9,2025-01-01,0,139.9
M100356,West,Plus,139.9,2025-01-01,0,139.9
M100359,South,Premium,189.9,2025-01-01,0,189.9
M100363,North,Plus,139.9,2025-01-01,0,139.9
M100366,East,Plus,139.9,2025-01-01,0,139.9
M100367,South,Basic,99.9,2025-01-01,0,99.9
M100373,East,Basic,99.9,2025-01-01,0,99.9
M100374,West,Basic,99.9,2025-01-01,0,99.9
M100379,Downtown,Basic,99.9,2025-01-01,0,99.9
M100381,University,Basic,99.9,2025-01-01,0,99.9
M100384,University,Basic,99.9,2025-01-01,0,99.9
M100385,University,Basic,99.9,2025-01-01,0,99.9
M100391,University,Premium,189.9,2025-01-01,0,189.9
M100394,Downtown,Basic,99.9,2025-01-01,0,99.9
M100395,East,Basic,99.9,2025-01-01,0,99.9
M100396,West,Premium,189.9,2025-01-01,0,189.9
M100403,North,Plus,139.9,2025-01-01,0,139.9
M100404,South,Plus,139.9,2025-01-01,0,139.9
M100406,North,Plus,139.9,2025-01-01,0,139.9
M100408,Downtown,Basic,99.9,2025-01-01,0,99.9
M100411,South,Premium,189.9,2025-01-01,0,189.9
M100413,East,Plus,139.9,2025-01-01,0,139.9
M100414,University,Basic,99.9,2025-01-01,0,99.9
M100418,University,Premium,189.9,2025-01-01,0,189.9
M100420,South,Plus,139.9,2025-01-01,0,139.9
M100422,University,Basic,99.9,2025-01-01,0,99.9
M100423,North,Plus,139.9,2025-01-01,0,139.9
M100425,West,Premium,189.9,2025-01-01,0,189.9
M100426,North,Premium,189.9,2025-01-01,0,189.9
M100431,University,Basic,99.9,2025-01-01,0,99.9
M100435,Downtown,Basic,99.9,2025-01-01,1,0.0
M100441,North,Plus,139.9,2025-01-01,0,139.9
M100442,East,Premium,189.9,2025-01-01,0,189.9
M100443,Downtown,Plus,139.9,2025-01-01,0,139.9
M100448,East,Plus,139.9,2025-01-01,0,139.9
M100449,University,Premium,189.9,2025-01-01,0,189.9
M100450,Downtown,Premium,189.9,2025-01-01,0,189.9
M100453,West,Plus,139.9,2025-01-01,0,139.9
M100457,West,Premium,189.9,2025-01-01,0,189.9
M100458,North,Premium,189.9,2025-01-01,0,189.9
M100462,West,Basic,99.9,2025-01-01,0,99.9
M100467,South,Basic,99.9,2025-01-01,0,99.9
M100468,Downtown,Premium,189.9,2025-01-01,0,189.9
M100472,West,Basic,99.9,2025-01-01,0,99.9
M100475,South,Plus,139.9,2025-01-01,0,139.9
M100476,West,Basic,99.9,2025-01-01,0,99.9
M100477,University,Premium,189.9,2025-01-01,0,189.9
M100479,South,Plus,139.9,2025-01-01,0,139.9
M100481,East,Premium,189.9,2025-01-01,0,189.9
M100484,Downtown,Plus,139.9,2025-01-01,0,139.9
M100486,East,Plus,139.9,2025-01-01,0,139.9
M100491,South,Premium,189.9,2025-01-01,0,189.9
M100495,University,Premium,189.9,2025-01-01,0,189.9
M100498,University,Plus,139.9,2025-01-01,0,139.9
M100501,East,Premium,189.9,2025-01-01,0,189.9
M100503,North,Plus,139.9,2025-01-01,0,139.9
M100504,Downtown,Plus,139.9,2025-01-01,0,139.9
M100506,South,Plus,139.9,2025-01-01,0,139.9
M100507,North,Plus,139.9,2025-01-01,0,139.9
M100511,West,Plus,139.9,2025-01-01,0,139.9
M100512,Downtown,Plus,139.9,2025-01-01,0,139.9
M100516,West,Basic,99.9,2025-01-01,0,99.9
M100521,University,Plus,139.9,2025-01-01,0,139.9
M100522,North,Basic,99.9,2025-01-01,0,99.9
M100523,North,Basic,99.9,2025-01-01,0,99.9
M100529,University,Basic,99.9,2025-01-01,0,99.9
M100532,South,Premium,189.9,2025-01-01,0,189.9
M100533,West,Plus,139.9,2025-01-01,0,139.9
M100540,University,Plus,139.9,2025-01-01,0,139.9
M100544,South,Premium,189.9,2025-01-01,0,189.9
M100547,East,Plus,139.9,2025-01-01,0,139.9
M100548,University,Plus,139.9,2025-01-01,0,139.9
M100551,East,Basic,99.9,2025-01-01,0,99.9
M100555,West,Plus,139.9,2025-01-01,0,139.9
M100563,South,Plus,139.9,2025-01-01,0,139.9
M100565,East,Plus,139.9,2025-01-01,0,139.9
M100568,East,Premium,189.9,2025-01-01,0,189.9
M100571,West,Plus,139.9,2025-01-01,0,139.9
M100572,West,Basic,99.9,2025-01-01,1,0.0
M100573,South,Plus,139.9,2025-01-01,0,139.9
M100577,South,Basic,99.9,2025-01-01,0,99.9
M100580,West,Basic,99.9,2025-01-01,0,99.9
M100581,West,Premium,189.9,2025-01-01,0,189.9
M100583,East,Basic,99.9,2025-01-01,0,99.9
M100584,West,Plus,139.9,2025-01-01,1,0.0
M100585,Downtown,Plus,139.9,2025-01-01,0,139.9
M100589,North,Basic,99.9,2025-01-01,0,99.9
M100591,North,Basic,99.9,2025-01-01,0,99.9
M100594,Downtown,Plus,139.9,2025-01-01,0,139.9
M100595,University,Basic,99.9,2025-01-01,0,99.9
M100598,East,Plus,139.9,2025-01-01,0,139.9
M100604,Downtown,Basic,99.9,2025-01-01,0,99.9
M100605,University,Basic,99.9,2025-01-01,0,99.9
M100606,Downtown,Plus,139.9,2025-01-01,0,139.9
M100617,North,Plus,139.9,2025-01-01,0,139.9
M100619,University,Premium,189.9,2025-01-01,0,189.9
M100624,North,Basic,99.9,2025-01-01,0,99.9
M100626,Downtown,Basic,99.9,2025-01-01,0,99.9
M100627,East,Basic,99.9,2025-01-01,1,0.0
M100628,South,Basic,99.9,2025-01-01,0,99.9
M100629,West,Plus,139.9,2025-01-01,0,139.9
M100631,East,Plus,139.9,2025-01-01,0,139.9
M100632,North,Basic,99.9,2025-01-01,0,99.9
M100633,South,Premium,189.9,2025-01-01,0,189.9
M100639,West,Plus,139.9,2025-01-01,0,139.9
M100640,University,Plus,139.9,2025-01-01,0,139.9
M100641,East,Plus,139.9,2025-01-01,0,139.9
M100642,North,Basic,99.9,2025-01-01,0,99.9
M100645,University,Basic,99.9,2025-01-01,0,99.9
M100647,North,Plus,139.9,2025-01-01,0,139.9
M100648,University,Premium,189.9,2025-01-01,0,189.9
M100654,North,Premium,189.9,2025-01-01,0,189.9
M100655,West,Plus,139.9,2025-01-01,0,139.9
M100658,Downtown,Premium,189.9,2025-01-01,0,189.9
M100659,South,Plus,139.9,2025-01-01,0,139.9
M100663,University,Premium,189.9,2025-01-01,0,189.9
M100664,Downtown,Basic,99.9,2025-01-01,0,99.9
M100665,Downtown,Basic,99.9,2025-01-01,1,0.0
M100667,East,Plus,139.9,2025-01-01,0,139.9
M100672,North,Plus,139.9,2025-01-01,0,139.9
M100673,Downtown,Plus,139.9,2025-01-01,0,139.9
M100678,West,Basic,99.9,2025-01-01,0,99.9
M100682,East,Basic,99.9,2025-01-01,0,99.9
M100685,Downtown,Premium,189.9,2025-01-01,0,189.9
M100688,Downtown,Premium,189.9,2025-01-01,0,189.9
M100693,South,Premium,189.9,2025-01-01,0,189.9
M100696,West,Premium,189.9,2025-01-01,0,189.9
M100697,University,Plus,139.9,2025-01-01,0,139.9
M100704,Downtown,Basic,99.9,2025-01-01,0,99.9
M100708,North,Basic,99.9,2025-01-01,0,99.9
M100715,University,Basic,99.9,2025-01-01,0,99.9
M100717,University,Basic,99.9,2025-01-01,0,99.9
M100721,North,Premium,189.9,2025-01-01,0,189.9
M100726,University,Premium,189.9,2025-01-01,0,189.9
M100727,Downtown,Plus,139.9,2025-01-01,0,139.9
M100728,East,Plus,139.9,2025-01-01,0,139.9
M100729,West,Basic,99.9,2025-01-01,0,99.9
M100730,South,Plus,139.9,2025-01-01,0,139.9
M100731,East,Basic,99.9,2025-01-01,0,99.9
M100733,East,Plus,139.9,2025-01-01,0,139.9
M100734,University,Basic,99.9,2025-01-01,0,99.9
M100735,University,Plus,139.9,2025-01-01,0,139.9
M100738,South,Plus,139.9,2025-01-01,0,139.9
M100743,East,Premium,189.9,2025-01-01,0,189.9
M100744,Downtown,Plus,139.9,2025-01-01,0,139.9
M100745,West,Plus,139.9,2025-01-01,0,139.9
M100747,University,Basic,99.9,2025-01-01,0,99.9
M100753,West,Premium,189.9,2025-01-01,0,189.9
M100754,Downtown,Basic,99.9,2025-01-01,0,99.9
M100757,West,Premium,189.9,2025-01-01,0,189.9
M100758,North,Basic,99.9,2025-01-01,0,99.9
M100762,East,Premium,189.9,2025-01-01,0,189.9
M100764,South,Basic,99.9,2025-01-01,0,99.9
M100766,Downtown,Plus,139.9,2025-01-01,0,139.9
M100767,University,Premium,189.9,2025-01-01,0,189.9
M100768,South,Premium,189.9,2025-01-01,0,189.9
M100769,South,Basic,99.9,2025-01-01,0,99.9
M100774,South,Premium,189.9,2025-01-01,0,189.9
M100775,North,Plus,139.9,2025-01-01,0,139.9
M100778,North,Plus,139.9,2025-01-01,0,139.9
M100780,South,Premium,189.9,2025-01-01,0,189.9
M100783,Downtown,Basic,99.9,2025-01-01,0,99.9
M100786,North,Plus,139.9,2025-01-01,0,139.9
M100787,West,Plus,139.9,2025-01-01,0,139.9
M100788,South,Plus,139.9,2025-01-01,0,139.9
M100789,University,Plus,139.9,2025-01-01,0,139.9
M100791,North,Plus,139.9,2025-01-01,0,139.9
M100795,North,Plus,139.9,2025-01-01,0,139.9
M100797,West,Plus,139.9,2025-01-01,0,139.9
M100798,South,Basic,99.9,2025-01-01,0,99.9
M100800,Downtown,Basic,99.9,2025-01-01,0,99.9
M100801,West,Basic,99.9,2025-01-01,0,99.9
M100803,South,Plus,139.9,2025-01-01,0,139.9
M100804,North,Plus,139.9,2025-01-01,0,139.9
M100805,Downtown,Basic,99.9,2025-01-01,0,99.9
M100807,Downtown,Premium,189.9,2025-01-01,0,189.9
M100810,North,Plus,139.9,2025-01-01,0,139.9
M100812,University,Premium,189.9,2025-01-01,0,189.9
M100816,North,Basic,99.9,2025-01-01,0,99.9
M100818,South,Plus,139.9,2025-01-01,0,139.9
M100821,East,Basic,99.9,2025-01-01,0,99.9
M100824,South,Basic,99.9,2025-01-01,0,99.9
M100825,West,Basic,99.9,2025-01-01,0,99.9
M100826,North,Plus,139.9,2025-01-01,0,139.9
M100827,Downtown,Premium,189.9,2025-01-01,0,189.9
M100829,West,Plus,139.9,2025-01-01,0,139.9
M100830,South,Premium,189.9,2025-01-01,0,189.9
M100832,East,Basic,99.9,2025-01-01,0,99.9
M100834,East,Plus,139.9,2025-01-01,1,0.0
M100835,East,Premium,189.9,2025-01-01,0,189.9
M100841,North,Plus,139.9,2025-01-01,0,139.9
M100845,South,Plus,139.9,2025-01-01,0,139.9
M100846,South,Plus,139.9,2025-01-01,0,139.9
M100847,South,Premium,189.9,2025-01-01,0,189.9
M100848,East,Plus,139.9,2025-01-01,0,139.9
M100849,Downtown,Plus,139.9,2025-01-01,0,139.9
M100851,West,Premium,189.9,2025-01-01,0,189.9
M100854,University,Plus,139.9,2025-01-01,0,139.9
M100855,South,Plus,139.9,2025-01-01,0,139.9
M100856,West,Basic,99.9,2025-01-01,0,99.9
M100857,West,Plus,139.9,2025-01-01,0,139.9
M100867,Downtown,Plus,139.9,2025-01-01,0,139.9
M100868,University,Premium,189.9,2025-01-01,0,189.9
M100870,East,Premium,189.9,2025-01-01,0,189.9
M100871,North,Basic,99.9,2025-01-01,0,99.9
M100875,South,Plus,139.9,2025-01-01,0,139.9
M100878,University,Premium,189.9,2025-01-01,0,189.9
M100879,North,Basic,99.9,2025-01-01,0,99.9
M100880,East,Basic,99.9,2025-01-01,0,99.9
M100881,East,Plus,139.9,2025-01-01,0,139.9
M100882,South,Plus,139.9,2025-01-01,0,139.9
M100884,Downtown,Premium,189.9,2025-01-01,0,189.9
M100888,University,Basic,99.9,2025-01-01,0,99.9
M100893,Downtown,Premium,189.9,2025-01-01,1,0.0
M100894,North,Plus,139.9,2025-01-01,0,139.9
M100901,South,Basic,99.9,2025-01-01,0,99.9
M100905,University,Premium,189.9,2025-01-01,0,189.9
M100907,West,Basic,99.9,2025-01-01,0,99.9
M100909,East,Basic,99.9,2025-01-01,0,99.9
M100910,South,Basic,99.9,2025-01-01,0,99.9
M100912,University,Premium,189.9,2025-01-01,0,189.9
M100913,West,Basic,99.9,2025-01-01,0,99.9
M100914,University,Plus,139.9,2025-01-01,0,139.9
M100915,North,Plus,139.9,2025-01-01,0,139.9
M100919,North,Plus,139.9,2025-01-01,0,139.9
M100920,University,Premium,189.9,2025-01-01,0,189.9
M100921,South,Basic,99.9,2025-01-01,0,99.9
M100923,Downtown,Premium,189.9,2025-01-01,0,189.9
M100924,East,Plus,139.9,2025-01-01,0,139.9
M100927,South,Plus,139.9,2025-01-01,1,0.0
M100928,South,Premium,189.9,2025-01-01,0,189.9
M100930,Downtown,Basic,99.9,2025-01-01,0,99.9
M100932,Downtown,Plus,139.9,2025-01-01,0,139.9
M100935,Downtown,Premium,189.9,2025-01-01,0,189.9
M100936,West,Plus,139.9,2025-01-01,0,139.9
M100937,North,Basic,99.9,2025-01-01,0,99.9
M100941,West,Premium,189.9,2025-01-01,0,189.9
M100943,North,Plus,139.9,2025-01-01,0,139.9
M100947,West,Basic,99.9,2025-01-01,0,99.9
M100948,University,Basic,99.9,2025-01-01,0,99.9
M100950,East,Plus,139.9,2025-01-01,0,139.9
M100953,East,Plus,139.9,2025-01-01,0,139.9
M100954,East,Basic,99.9,2025-01-01,0,99.9
M100955,North,Basic,99.9,2025-01-01,0,99.9
M100957,East,Plus,139.9,2025-01-01,0,139.9
M100959,West,Basic,99.9,2025-01-01,0,99.9
M100960,North,Basic,99.9,2025-01-01,0,99.9
M100962,East,Basic,99.9,2025-01-01,0,99.9
M100967,Downtown,Plus,139.9,2025-01-01,1,0.0
M100972,North,Plus,139.9,2025-01-01,0,139.9
M100975,East,Basic,99.9,2025-01-01,0,99.9
M100977,North,Premium,189.9,2025-01-01,0,189.9
M100979,South,Plus,139.9,2025-01-01,0,139.9
M100980,North,Premium,189.9,2025-01-01,0,189.9
M100982,Downtown,Plus,139.9,2025-01-01,0,139.9
M100983,Downtown,Plus,139.9,2025-01-01,0,139.9
M100984,University,Plus,139.9,2025-01-01,0,139.9
M100985,Downtown,Plus,139.9,2025-01-01,0,139.9
M100990,University,Plus,139.9,2025-01-01,0,139.9
M100991,North,Basic,99.9,2025-01-01,0,99.9
M100997,West,Premium,189.9,2025-01-01,0,189.9
M100999,Downtown,Plus,139.9,2025-01-01,0,139.9
M101006,East,Basic,99.9,2025-01-01,0,99.9
M101009,South,Basic,99.9,2025-01-01,0,99.9
M101012,Downtown,Plus,139.9,2025-01-01,0,139.9
M101014,West,Premium,189.9,2025-01-01,0,189.9
M101015,North,Plus,139.9,2025-01-01,0,139.9
M101024,West,Premium,189.9,2025-01-01,0,189.9
M101029,East,Basic,99.9,2025-01-01,0,99.9
M101030,North,Plus,139.9,2025-01-01,0,139.9
M101033,Downtown,Plus,139.9,2025-01-01,0,139.9
M101035,North,Premium,189.9,2025-01-01,0,189.9
M101037,South,Plus,139.9,2025-01-01,0,139.9
M101038,East,Plus,139.9,2025-01-01,0,139.9
M101046,West,Premium,189.9,2025-01-01,0,189.9
M101048,South,Plus,139.9,2025-01-01,0,139.9
M101049,University,Plus,139.9,2025-01-01,0,139.9
M101050,East,Plus,139.9,2025-01-01,0,139.9
M101051,East,Basic,99.9,2025-01-01,0,99.9
M101052,Downtown,Basic,99.9,2025-01-01,0,99.9
M101054,Downtown,Premium,189.9,2025-01-01,0,189.9
M101055,Downtown,Basic,99.9,2025-01-01,0,99.9
M101056,Downtown,Premium,189.9,2025-01-01,0,189.9
M101072,West,Basic,99.9,2025-01-01,1,0.0
M101074,South,Basic,99.9,2025-01-01,0,99.9
M101077,South,Premium,189.9,2025-01-01,0,189.9
M101078,South,Premium,189.9,2025-01-01,0,189.9
M101080,West,Premium,189.9,2025-01-01,0,189.9
M101081,South,Plus,139.9,2025-01-01,0,139.9
M101082,East,Basic,99.9,2025-01-01,0,99.9
M101083,South,Basic,99.9,2025-01-01,0,99.9
M101086,North,Basic,99.9,2025-01-01,0,99.9
M101091,South,Basic,99.9,2025-01-01,0,99.9
M101093,Downtown,Plus,139.9,2025-01-01,0,139.9
M101095,North,Premium,189.9,2025-01-01,0,189.9
M101096,Downtown,Basic,99.9,2025-01-01,0,99.9
M101098,East,Premium,189.9,2025-01-01,0,189.9
M101100,Downtown,Basic,99.9,2025-01-01,0,99.9
M101102,South,Basic,99.9,2025-01-01,0,99.9
M101106,South,Plus,139.9,2025-01-01,0,139.9
M101107,Downtown,Plus,139.9,2025-01-01,0,139.9
M101110,Downtown,Plus,139.9,2025-01-01,1,0.0
M101111,South,Premium,189.9,2025-01-01,0,189.9
M101112,University,Basic,99.9,2025-01-01,0,99.9
M101113,East,Plus,139.9,2025-01-01,0,139.9
M101115,East,Basic,99.9,2025-01-01,0,99.9
M101120,South,Plus,139.9,2025-01-01,0,139.9
M101123,East,Basic,99.9,2025-01-01,0,99.9
M101124,University,Basic,99.9,2025-01-01,0,99.9
M101125,South,Plus,139.9,2025-01-01,0,139.9
M101126,South,Premium,189.9,2025-01-01,0,189.9
M101132,North,Plus,139.9,2025-01-01,0,139.9
M101133,South,Premium,189.9,2025-01-01,0,189.9
M101134,East,Basic,99.9,2025-01-01,0,99.9
M101136,West,Basic,99.9,2025-01-01,0,99.9
M101140,Downtown,Plus,139.9,2025-01-01,0,139.9
M101142,North,Plus,139.9,2025-01-01,0,139.9
M101149,University,Plus,139.9,2025-01-01,0,139.9
M101153,South,Plus,139.9,2025-01-01,0,139.9
M101154,South,Plus,139.9,2025-01-01,0,139.9
M101155,University,Premium,189.9,2025-01-01,0,189.9
M101159,South,Basic,99.9,2025-01-01,0,99.9
M101162,East,Plus,139.9,2025-01-01,0,139.9
M101163,South,Plus,139.9,2025-01-01,0,139.9
M101164,Downtown,Plus,139.9,2025-01-01,0,139.9
M101165,North,Basic,99.9,2025-01-01,0,99.9
M101168,University,Plus,139.9,2025-01-01,0,139.9
M101171,South,Basic,99.9,2025-01-01,0,99.9
M101179,Downtown,Basic,99.9,2025-01-01,0,99.9
M101180,Downtown,Basic,99.9,2025-01-01,0,99.9
M101181,East,Plus,139.9,2025-01-01,0,139.9
M101182,North,Basic,99.9,2025-01-01,0,99.9
M101184,Downtown,Basic,99.9,2025-01-01,0,99.9
M101188,University,Plus,139.9,2025-01-01,0,139.9
M101189,West,Basic,99.9,2025-01-01,0,99.9
M101193,East,Premium,189.9,2025-01-01,0,189.9
M101194,Downtown,Plus,139.9,2025-01-01,0,139.9
M101199,Downtown,Plus,139.9,2025-01-01,0,139.9
M101201,North,Plus,139.9,2025-01-01,0,139.9
M101202,Downtown,Premium,189.9,2025-01-01,0,189.9
M101203,East,Basic,99.9,2025-01-01,0,99.9
M101207,East,Plus,139.9,2025-01-01,0,139.9
M101208,West,Plus,139.9,2025-01-01,0,139.9
M101209,East,Basic,99.9,2025-01-01,0,99.9
M101211,West,Basic,99.9,2025-01-01,0,99.9
M101213,East,Plus,139.9,2025-01-01,0,139.9
M101214,West,Plus,139.9,2025-01-01,0,139.9
M101217,University,Plus,139.9,2025-01-01,0,139.9
M101219,North,Basic,99.9,2025-01-01,0,99.9
M101223,East,Plus,139.9,2025-01-01,0,139.9
M101228,Downtown,Premium,189.9,2025-01-01,0,189.9
M101229,East,Plus,139.9,2025-01-01,0,139.9
M101230,University,Plus,139.9,2025-01-01,0,139.9
M101236,North,Plus,139.9,2025-01-01,1,0.0
M101237,University,Plus,139.9,2025-01-01,0,139.9
M101244,West,Basic,99.9,2025-01-01,0,99.9
M101246,East,Premium,189.9,2025-01-01,0,189.9
M101247,Downtown,Basic,99.9,2025-01-01,0,99.9
M101253,North,Plus,139.9,2025-01-01,0,139.9
M101254,South,Plus,139.9,2025-01-01,0,139.9
M101255,University,Basic,99.9,2025-01-01,0,99.9
M101257,North,Premium,189.9,2025-01-01,0,189.9
M101262,Downtown,Plus,139.9,2025-01-01,0,139.9
M101269,East,Basic,99.9,2025-01-01,0,99.9
M101270,North,Plus,139.9,2025-01-01,0,139.9
M101271,Downtown,Plus,139.9,2025-01-01,0,139.9
