member_id,join_date,unit,plan,acquisition_channel,age_group,monthly_fee,cancel_date,status,tenure_months,member_key
M100072,2025-05-13,Downtown,Basic,Walk-in,25-34,99.9,2025-10-13,Cancelled,5,73
M100073,2025-03-01,North,Premium,Corporate,25-34,189.9,,Active,17,74
M100074,2024-07-05,Downtown,Plus,Walk-in,25-34,139.9,,Active,25,75
M100075,2024-10-20,North,Plus,Walk-in,25-34,139.9,,Active,21,76
M100076,2025-10-28,North,Premium,Google Ads,45-54,189.9,,Active,9,77
M100077,2025-07-02,East,Basic,Instagram,18-24,99.9,,Active,13,78
M100078,2025-02-02,North,Basic,Organic,25-34,99.9,2026-01-02,Cancelled,11,79
M100079,2026-06-28,South,Basic,Google Ads,35-44,99.9,,Active,1,80
M100080,2024-08-26,South,Basic,Corporate,55+,99.9,2025-11-26,Cancelled,15,81
M100081,2025-10-01,University,Basic,Google Ads,35-44,99.9,,Active,10,82
M100082,2024-06-02,South,Plus,Corporate,25-34,139.9,,Active,26,83
M100083,2026-05-02,West,Plus,Walk-in,55+,139.9,,Active,3,84
M100084,2025-01-11,North,Plus,Referral,45-54,139.9,,Active,19,85
M100085,2024-09-29,South,Basic,Corporate,18-24,99.9,2026-05-29,Cancelled,20,86
M100086,2024-06-13,North,Plus,Instagram,25-34,139.9,,Active,26,87
M100087,2025-08-17,West,Plus,Corporate,35-44,139.9,2025-12-17,Cancelled,4,88
M100088,2026-04-08,North,Plus,Walk-in,25-34,139.9,,Active,4,89
M100089,2026-01-03,Downtown,Basic,Google Ads,45-54,99.9,2026-03-03,Cancelled,2,90
M100090,2025-12-08,North,Basic,Google Ads,45-54,99.9,,Active,8,91
M100091,2025-12-26,West,Premium,Referral,18-24,189.9,,Active,7,92
M100092,2025-01-11,South,Basic,Corporate,25-34,99.9,,Active,19,93
M100093,2026-01-27,West,Plus,Organic,55+,139.9,2026-07-27,Cancelled,6,94
M100094,2025-06-26,East,Plus,Instagram,25-34,139.9,,Active,13,95
M100095,2025-05-05,South,Basic,Corporate,18-24,99.9,,Active,15,96
M100096,2026-01-14,University,Basic,Google Ads,35-44,99.9,2026-03-14,Cancelled,2,97
M100097,2025-06-30,South,Premium,Organic,18-24,189.9,,Active,13,98
M100098,2024-03-29,North,Plus,Google Ads,18-24,139.9,2026-04-29,Cancelled,25,99
M100099,2026-02-16,South,Premium,Referral,25-34,189.9,,Active,5,100
M100100,2025-04-19,University,Plus,Organic,18-24,139.9,,Active,15,101
M100101,2024-04-20,University,Basic,Walk-in,25-34,99.9,,Active,27,102
M100102,2024-04-24,University,Plus,Corporate,25-34,139.9,,Active,27,103
M100103,2025-09-18,East,Plus,Instagram,18-24,139.9,2025-12-18,Cancelled,3,104
M100104,2026-03-15,South,Basic,Referral,35-44,99.9,,Active,5,105
M100105,2024-11-12,South,Premium,Instagram,35-44,189.9,,Active,21,106
M100106,2024-11-03,Downtown,Plus,Google Ads,25-34,139.9,,Active,21,107
M100107,2024-07-14,Downtown,Basic,Walk-in,25-34,99.9,2025-05-14,Cancelled,10,108
M100108,2025-03-30,East,Basic,Google Ads,45-54,99.9,2026-05-30,Cancelled,14,109
M100109,2025-07-07,Downtown,Basic,Instagram,18-24,99.9,,Active,13,110
M100110,2025-07-19,North,Premium,Instagram,35-44,189.9,,Active,12,111
M100111,2025-12-26,Downtown,Basic,Google Ads,55+,99.9,,Active,7,112
M100112,2025-04-29,University,Premium,Referral,55+,189.9,,Active,15,113
M100113,2026-06-17,North,Plus,Corporate,25-34,139.9,,Active,1,114
M100114,2025-03-29,Downtown,Plus,Google Ads,35-44,139.9,2026-01-29,Cancelled,10,115
M100115,2024-12-28,West,Premium,Corporate,25-34,189.9,2026-04-28,Cancelled,16,116
M100116,2025-10-29,East,Plus,Instagram,35-44,139.9,2026-01-29,Cancelled,3,117
M100117,2024-01-21,North,Plus,Google Ads,18-24,139.9,,Active,30,118
M100118,2025-10-29,North,Plus,Walk-in,25-34,139.9,2026-05-29,Cancelled,7,119
M100119,2025-02-11,North,Premium,Instagram,25-34,189.9,,Active,18,120
M100120,2026-03-07,North,Premium,Organic,18-24,189.9,,Active,5,121
M100121,2024-06-24,University,Plus,Instagram,45-54,139.9,2025-04-24,Cancelled,10,122
M100122,2026-04-09,West,Basic,Walk-in,18-24,99.9,,Active,4,123
M100123,2025-10-31,South,Plus,Organic,35-44,139.9,,Active,9,124
M100124,2026-03-02,West,Plus,Walk-in,25-34,139.9,,Active,5,125
M100125,2025-11-20,North,Basic,Referral,55+,99.9,,Active,8,126
M100126,2025-05-23,West,Basic,Instagram,35-44,99.9,2026-03-23,Cancelled,10,127
M100127,2025-12-23,North,Premium,Instagram,25-34,189.9,,Active,7,128
M100128,2024-04-23,University,Basic,Organic,18-24,99.9,2025-07-23,Cancelled,15,129
M100129,2024-06-12,North,Basic,Referral,25-34,99.9,2026-01-12,Cancelled,19,130
M100130,2024-10-09,South,Premium,Walk-in,18-24,189.9,,Active,22,131
M100131,2024-10-28,South,Plus,Instagram,25-34,139.9,,Active,21,132
M100132,2024-06-11,Downtown,Premium,Instagram,35-44,189.9,,Active,26,133
M100133,2026-06-20,South,Plus,Referral,25-34,139.9,,Active,1,134
M100134,2024-01-08,North,Premium,Google Ads,35-44,189.9,,Active,31,135
M100135,2025-08-05,East,Plus,Google Ads,18-24,139.9,,Active,12,136
M100136,2026-05-21,University,Basic,Corporate,35-44,99.9,,Active,2,137
M100137,2026-05-03,University,Plus,Instagram,55+,139.9,,Active,3,138
M100138,2024-04-21,West,Basic,Organic,25-34,99.9,,Active,27,139
M100139,2024-10-23,East,Basic,Organic,35-44,99.9,,Active,21,140
M100140,2025-01-03,University,Basic,Instagram,25-34,99.9,2025-05-03,Cancelled,4,141
M100141,2025-03-16,West,Basic,Google Ads,25-34,99.9,,Active,16,142
M100142,2024-05-08,West,Plus,Instagram,25-34,139.9,,Active,27,143
M100143,2024-05-30,West,Plus,Organic,35-44,139.9,,Active,26,144
M100144,2025-08-04,East,Basic,Google Ads,35-44,99.9,,Active,12,145
M100145,2024-05-27,North,Basic,Organic,25-34,99.9,,Active,26,146
M100146,2025-12-27,University,Premium,Corporate,25-34,189.9,2026-04-27,Cancelled,4,147
M100147,2024-05-07,North,Basic,Instagram,25-34,99.9,,Active,27,148
M100148,2026-06-22,Downtown,Basic,Organic,55+,99.9,,Active,1,149
M100149,2024-07-21,University,Premium,Walk-in,35-44,189.9,,Active,24,150
M100150,2024-04-10,University,Basic,Referral,25-34,99.9,,Active,28,151
M100151,2024-08-22,West,Plus,Google Ads,45-54,139.9,,Active,23,152
M100152,2025-06-03,University,Basic,Instagram,18-24,99.9,,Active,14,153
M100153,2025-03-30,West,Premium,Organic,55+,189.9,2026-01-30,Cancelled,10,154
M100154,2024-12-13,West,Plus,Organic,35-44,139.9,,Active,20,155
M100155,2024-06-05,North,Plus,Organic,25-34,139.9,,Active,26,156
M100156,2026-06-07,Downtown,Premium,Organic,18-24,189.9,,Active,2,157
M100157,2026-03-23,North,Plus,Organic,45-54,139.9,2026-06-23,Cancelled,3,158
M100158,2025-05-07,South,Plus,Google Ads,35-44,139.9,,Active,15,159
M100159,2026-01-02,North,Premium,Corporate,25-34,189.9,,Active,7,160
M100160,2025-10-28,Downtown,Basic,Instagram,55+,99.9,2026-04-28,Cancelled,6,161
M100161,2025-09-16,North,Plus,Instagram,35-44,139.9,,Active,10,162
M100162,2026-06-16,East,Plus,Google Ads,35-44,139.9,,Active,1,163
M100163,2026-01-28,University,Premium,Corporate,45-54,189.9,,Active,6,164
M100164,2025-08-31,West,Basic,Instagram,18-24,99.9,,Active,11,165
M100165,2024-05-10,North,Premium,Walk-in,35-44,189.9,,Active,27,166
M100166,2026-02-05,North,Premium,Google Ads,18-24,189.9,,Active,6,167
M100167,2024-06-22,Downtown,Plus,Instagram,35-44,139.9,2024-11-22,Cancelled,5,168
M100168,2025-05-12,South,Premium,Organic,25-34,189.9,,Active,15,169
M100169,2024-12-28,Downtown,Basic,Instagram,25-34,99.9,2025-04-28,Cancelled,4,170
M100170,2026-05-11,Downtown,Plus,Walk-in,18-24,139.9,,Active,3,171
M100171,2024-11-16,Downtown,Basic,Corporate,35-44,99.9,,Active,20,172
M100172,2025-03-22,South,Premium,Google Ads,55+,189.9,2025-05-22,Cancelled,2,173
M100173,2025-12-22,Downtown,Plus,Walk-in,55+,139.9,,Active,7,174
M100174,2026-03-08,Downtown,Plus,Corporate,25-34,139.9,2026-05-08,Cancelled,2,175
M100175,2025-10-02,North,Plus,Corporate,35-44,139.9,2026-05-02,Cancelled,7,176
M100176,2025-01-05,North,Premium,Corporate,18-24,189.9,,Active,19,177
M100177,2025-04-01,North,Basic,Referral,35-44,99.9,,Active,16,178
M100178,2025-08-13,University,Basic,Corporate,25-34,99.9,,Active,12,179
M100179,2024-07-20,North,Plus,Instagram,25-34,139.9,,Active,24,180
M100180,2025-12-10,South,Premium,Google Ads,55+,189.9,,Active,8,181
M100181,2026-04-09,South,Plus,Referral,25-34,139.9,,Active,4,182
M100182,2025-09-23,University,Basic,Organic,35-44,99.9,2026-07-23,Cancelled,10,183
M100183,2026-01-27,West,Plus,Corporate,35-44,139.9,2026-07-27,Cancelled,6,184
M100184,2025-08-22,West,Premium,Walk-in,45-54,189.9,,Active,11,185
M100185,2026-05-18,University,Plus,Walk-in,55+,139.9,,Active,2,186
M100186,2024-12-18,Downtown,Basic,Referral,25-34,99.9,,Active,19,187
M100187,2025-02-28,University,Plus,Google Ads,18-24,139.9,2025-12-28,Cancelled,10,188
M100188,2025-07-22,Downtown,Plus,Referral,25-34,139.9,,Active,12,189
M100189,2025-10-27,North,Basic,Instagram,35-44,99.9,,Active,9,190
M100190,2026-01-24,Downtown,Plus,Organic,45-54,139.9,2026-07-24,Cancelled,6,191
M100191,2025-01-22,Downtown,Plus,Organic,25-34,139.9,,Active,18,192
M100192,2026-03-12,Downtown,Basic,Google Ads,35-44,99.9,,Active,5,193
M100193,2026-06-28,East,Plus,Instagram,25-34,139.9,,Active,1,194
M100194,2024-06-23,Downtown,Basic,Google Ads,18-24,99.9,2025-04-23,Cancelled,10,195
M100195,2025-08-07,West,Basic,Walk-in,25-34,99.9,,Active,12,196
M100196,2024-02-16,University,Plus,Google Ads,45-54,139.9,,Active,29,197
M100197,2024-12-02,Downtown,Basic,Corporate,55+,99.9,,Active,20,198
M100198,2025-07-31,South,Basic,Corporate,25-34,99.9,,Active,12,199
M100199,2025-11-14,West,Basic,Referral,55+,99.9,,Active,9,200
M100200,2025-11-01,University,Plus,Walk-in,18-24,139.9,,Active,9,201
M100201,2024-02-02,Downtown,Premium,Walk-in,35-44,189.9,,Active,30,202
M100202,2025-09-28,South,Basic,Walk-in,18-24,99.9,2026-02-28,Cancelled,5,203
M100203,2025-11-03,South,Basic,Google Ads,35-44,99.9,2026-07-03,Cancelled,8,204
M100204,2025-01-08,Downtown,Basic,Referral,25-34,99.9,2026-05-08,Cancelled,16,205
M100205,2026-04-07,South,Plus,Instagram,18-24,139.9,,Active,4,206
M100206,2025-03-08,South,Basic,Corporate,25-34,99.9,,Active,17,207
M100207,2024-10-28,South,Plus,Walk-in,55+,139.9,,Active,21,208
M100208,2026-04-16,Downtown,Plus,Instagram,55+,139.9,,Active,3,209
M100209,2024-01-25,University,Plus,Organic,18-24,139.9,,Active,30,210
M100210,2024-04-10,University,Plus,Google Ads,18-24,139.9,,Active,28,211
M100211,2025-01-05,South,Basic,Organic,25-34,99.9,,Active,19,212
M100212,2026-05-23,South,Plus,Referral,18-24,139.9,,Active,2,213
M100213,2024-11-13,University,Plus,Google Ads,18-24,139.9,,Active,21,214
M100214,2026-01-02,North,Basic,Google Ads,45-54,99.9,,Active,7,215
M100215,2024-08-03,Downtown,Plus,Referral,18-24,139.9,,Active,24,216
M100216,2026-04-04,University,Plus,Organic,45-54,139.9,,Active,4,217
M100217,2026-04-01,East,Premium,Walk-in,35-44,189.9,2026-07-01,Cancelled,3,218
M100218,2024-04-27,Downtown,Premium,Instagram,25-34,189.9,,Active,27,219
M100219,2025-04-03,Downtown,Plus,Referral,35-44,139.9,,Active,16,220
M100220,2026-03-17,University,Premium,Corporate,35-44,189.9,,Active,4,221
M100221,2024-11-18,University,Plus,Walk-in,18-24,139.9,,Active,20,222
M100222,2025-01-23,South,Plus,Corporate,18-24,139.9,,Active,18,223
M100223,2026-05-26,University,Basic,Instagram,35-44,99.9,2026-07-26,Cancelled,2,224
M100224,2025-07-22,North,Plus,Google Ads,25-34,139.9,,Active,12,225
M100225,2025-11-19,North,Plus,Organic,55+,139.9,,Active,8,226
M100226,2024-10-11,North,Basic,Instagram,35-44,99.9,,Active,22,227
M100227,2025-05-02,Downtown,Basic,Instagram,25-34,99.9,,Active,15,228
M100228,2024-12-31,University,Basic,Organic,35-44,99.9,2025-10-31,Cancelled,10,229
M100229,2024-01-04,Downtown,Premium,Referral,25-34,189.9,,Active,31,230
M100230,2025-09-12,Downtown,Plus,Organic,55+,139.9,,Active,11,231
M100231,2024-10-25,East,Plus,Walk-in,25-34,139.9,,Active,21,232
M100232,2024-03-14,South,Premium,Instagram,45-54,189.9,,Active,29,233
M100233,2026-04-08,University,Basic,Google Ads,35-44,99.9,,Active,4,234
M100234,2024-10-09,East,Plus,Referral,25-34,139.9,,Active,22,235
M100235,2024-04-23,North,Basic,Referral,18-24,99.9,,Active,27,236
M100236,2026-06-26,North,Basic,Walk-in,25-34,99.9,,Active,1,237
M100237,2024-05-03,University,Basic,Google Ads,18-24,99.9,,Active,27,238
M100238,2025-10-09,Downtown,Basic,Organic,25-34,99.9,,Active,10,239
M100239,2026-02-05,West,Basic,Google Ads,45-54,99.9,,Active,6,240
M100240,2026-04-30,North,Plus,Instagram,25-34,139.9,,Active,3,241
M100241,2024-02-16,South,Basic,Referral,18-24,99.9,,Active,29,242
M100242,2024-08-07,East,Basic,Corporate,25-34,99.9,,Active,24,243
M100243,2026-02-18,University,Plus,Walk-in,25-34,139.9,,Active,5,244
M100244,2024-03-04,North,Plus,Referral,18-24,139.9,,Active,29,245
M100245,2026-05-10,South,Basic,Walk-in,18-24,99.9,2026-07-10,Cancelled,2,246
M100246,2025-02-01,University,Plus,Google Ads,55+,139.9,2025-05-01,Cancelled,3,247
M100247,2024-11-25,University,Basic,Instagram,25-34,99.9,2025-04-25,Cancelled,5,248
M100248,2024-11-20,Downtown,Premium,Google Ads,25-34,189.9,,Active,20,249
M100249,2025-01-01,East,Basic,Corporate,25-34,99.9,2025-03-01,Cancelled,2,250
M100250,2025-06-18,West,Basic,Organic,35-44,99.9,2026-06-18,Cancelled,12,251
M100251,2024-10-17,West,Plus,Google Ads,45-54,139.9,,Active,21,252
M100252,2024-09-05,Downtown,Premium,Organic,35-44,189.9,,Active,23,253
M100253,2024-10-28,University,Basic,Referral,18-24,99.9,,Active,21,254
M100254,2024-10-14,Downtown,Basic,Organic,45-54,99.9,2026-01-14,Cancelled,15,255
M100255,2024-05-03,South,Plus,Google Ads,25-34,139.9,,Active,27,256
M100256,2026-05-31,East,Plus,Organic,18-24,139.9,,Active,2,257
M100257,2026-05-12,West,Plus,Google Ads,18-24,139.9,,Active,3,258
M100258,2025-08-27,North,Premium,Instagram,35-44,189.9,,Active,11,259
M100259,2026-03-30,West,Premium,Instagram,45-54,189.9,,Active,4,260
M100260,2024-09-16,University,Premium,Corporate,35-44,189.9,2025-12-16,Cancelled,15,261
M100261,2025-04-02,Downtown,Plus,Google Ads,25-34,139.9,2025-07-02,Cancelled,3,262
M100262,2025-08-19,Downtown,Basic,Organic,35-44,99.9,,Active,11,263
M100263,2024-10-09,West,Premium,Organic,35-44,189.9,,Active,22,264
M100264,2024-01-16,West,Basic,Walk-in,18-24,99.9,,Active,30,265
M100265,2025-12-04,South,Plus,Google Ads,25-34,139.9,2026-03-04,Cancelled,3,266
M100266,2026-05-07,North,Basic,Referral,18-24,99.9,,Active,3,267
M100267,2024-10-24,South,Plus,Instagram,25-34,139.9,,Active,21,268
M100268,2024-06-19,University,Plus,Instagram,18-24,139.9,,Active,25,269
M100269,2025-10-23,West,Plus,Google Ads,35-44,139.9,,Active,9,270
M100270,2025-05-10,University,Premium,Organic,45-54,189.9,,Active,15,271
M100271,2024-10-29,University,Plus,Organic,25-34,139.9,,Active,21,272
M100272,2026-05-05,University,Basic,Referral,45-54,99.9,,Active,3,273
M100273,2026-01-13,University,Basic,Google Ads,18-24,99.9,,Active,7,274
M100274,2025-09-18,North,Basic,Google Ads,45-54,99.9,,Active,10,275
M100275,2026-04-12,University,Plus,Organic,45-54,139.9,2026-06-12,Cancelled,2,276
M100276,2024-09-29,University,Plus,Organic,18-24,139.9,,Active,22,277
M100277,2025-10-30,South,Basic,Referral,18-24,99.9,2025-12-30,Cancelled,2,278
M100278,2025-09-17,University,Basic,Instagram,25-34,99.9,,Active,10,279
M100279,2026-04-14,Downtown,Basic,Referral,35-44,99.9,2026-07-14,Cancelled,3,280
M100280,2026-05-02,East,Basic,Referral,45-54,99.9,,Active,3,281
M100281,2024-12-12,Downtown,Basic,Referral,45-54,99.9,,Active,20,282
M100282,2025-01-28,South,Plus,Instagram,45-54,139.9,,Active,18,283
M100283,2026-06-17,South,Basic,Corporate,55+,99.9,,Active,1,284
M100284,2026-01-12,Downtown,Basic,Organic,45-54,99.9,,Active,7,285
M100285,2025-12-20,West,Basic,Google Ads,25-34,99.9,,Active,7,286
M100286,2024-04-02,Downtown,Basic,Instagram,25-34,99.9,2024-09-02,Cancelled,5,287
M100287,2025-04-03,South,Basic,Organic,25-34,99.9,,Active,16,288
M100288,2026-05-08,East,Basic,Google Ads,35-44,99.9,,Active,3,289
M100289,2025-07-02,West,Basic,Google Ads,25-34,99.9,,Active,13,290
M100290,2026-06-09,Downtown,Premium,Referral,18-24,189.9,,Active,2,291
M100291,2026-01-26,South,Basic,Corporate,35-44,99.9,,Active,6,292
M100292,2026-04-11,North,Plus,Google Ads,45-54,139.9,,Active,4,293
M100293,2024-01-11,Downtown,Plus,Organic,18-24,139.9,,Active,31,294
M100294,2025-07-23,North,Basic,Corporate,35-44,99.9,,Active,12,295
M100295,2024-09-03,West,Basic,Walk-in,35-44,99.9,,Active,23,296
M100296,2025-03-24,South,Plus,Google Ads,35-44,139.9,2025-11-24,Cancelled,8,297
M100297,2026-04-07,University,Plus,Google Ads,25-34,139.9,,Active,4,298
M100298,2025-05-12,South,Plus,Referral,55+,139.9,,Active,15,299
M100299,2024-10-17,East,Basic,Organic,55+,99.9,,Active,21,300
M100300,2024-07-12,East,Basic,Organic,25-34,99.9,2025-06-12,Cancelled,11,301
M100301,2025-04-24,University,Premium,Walk-in,35-44,189.9,,Active,15,302
M100302,2026-06-23,Downtown,Basic,Google Ads,55+,99.9,,Active,1,303
M100303,2024-10-24,Downtown,Basic,Google Ads,18-24,99.9,,Active,21,304
M100304,2024-07-23,Downtown,Basic,Corporate,18-24,99.9,,Active,24,305
M100305,2024-09-25,North,Basic,Google Ads,25-34,99.9,,Active,22,306
M100306,2025-02-17,South,Basic,Corporate,35-44,99.9,2025-10-17,Cancelled,8,307
M100307,2025-11-13,North,Plus,Instagram,45-54,139.9,,Active,9,308
M100308,2026-05-16,East,Premium,Organic,18-24,189.9,,Active,2,309
M100309,2025-02-12,University,Premium,Organic,55+,189.9,,Active,18,310
M100310,2026-01-27,West,Premium,Referral,35-44,189.9,,Active,6,311
M100311,2025-08-06,West,Basic,Google Ads,25-34,99.9,2025-11-06,Cancelled,3,312
M100312,2024-12-28,University,Plus,Instagram,45-54,139.9,,Active,19,313
M100313,2025-03-06,North,Basic,Organic,18-24,99.9,,Active,17,314
M100314,2024-11-16,East,Premium,Instagram,18-24,189.9,,Active,20,315
M100315,2024-12-26,University,Basic,Organic,45-54,99.9,2025-06-26,Cancelled,6,316
M100316,2024-04-03,South,Plus,Referral,55+,139.9,,Active,28,317
M100317,2025-10-11,Downtown,Basic,Organic,55+,99.9,,Active,10,318
M100318,2024-11-07,Downtown,Basic,Referral,45-54,99.9,2026-05-07,Cancelled,18,319
M100319,2026-06-07,West,Basic,Corporate,25-34,99.9,,Active,2,320
M100320,2026-05-25,University,Basic,Walk-in,45-54,99.9,,Active,2,321
M100321,2026-05-17,South,Plus,Organic,35-44,139.9,2026-07-17,Cancelled,2,322
M100322,2024-09-12,University,Premium,Walk-in,18-24,189.9,,Active,23,323
M100323,2025-08-29,East,Basic,Google Ads,18-24,99.9,2026-04-29,Cancelled,8,324
M100324,2024-11-01,East,Plus,Organic,18-24,139.9,,Active,21,325
M100325,2025-08-16,Downtown,Basic,Walk-in,25-34,99.9,,Active,11,326
M100326,2024-03-04,East,Premium,Instagram,35-44,189.9,,Active,29,327
M100327,2025-06-11,East,Premium,Corporate,25-34,189.9,,Active,14,328
M100328,2025-05-22,North,Basic,Google Ads,35-44,99.9,,Active,14,329
M100329,2025-08-22,North,Plus,Google Ads,18-24,139.9,,Active,11,330
M100330,2026-03-19,East,Basic,Walk-in,45-54,99.9,,Active,4,331
M100331,2026-03-09,South,Basic,Instagram,18-24,99.9,,Active,5,332
M100332,2024-11-12,South,Premium,Organic,35-44,189.9,,Active,21,333
M100333,2025-09-16,University,Basic,Google Ads,25-34,99.9,,Active,10,334
M100334,2026-03-28,East,Premium,Instagram,25-34,189.9,,Active,4,335
M100335,2026-04-14,Downtown,Plus,Walk-in,45-54,139.9,,Active,4,336
M100336,2025-06-04,Downtown,Basic,Corporate,35-44,99.9,,Active,14,337
M100337,2025-05-11,East,Basic,Walk-in,25-34,99.9,2026-01-11,Cancelled,8,338
M100338,2025-03-02,North,Premium,Google Ads,18-24,189.9,,Active,17,339
M100339,2026-05-27,North,Basic,Referral,25-34,99.9,,Active,2,340
M100340,2024-07-27,West,Basic,Google Ads,45-54,99.9,2025-03-27,Cancelled,8,341
